bedrooms,bathrooms,car spaces,land size,price,date of sale,tavg,tmin,tmax,avg_tavg_7_days,avg_tmin_7_days,avg_tmax_7_days,avg_tavg_30_days,avg_tmin_30_days,avg_tmax_30_days
2,1,0,127,120000,2006-06-08,3.7,-1.4,13.1,4.6,1.5,12.8,6.8,1.7,14.2
1,1,0,26,130000,2018-03-08,17.3,9.3,25.6,15.9,10.2,24.6,16.2,11.9,24.3
2,2,0,307,157000,2012-06-23,7.8,-0.8,12.3,6.8,3.3,12.5,7.4,3.4,13.9
2,1,0,580,170000,2013-08-02,5.6,6.1,12.7,8.3,3.2,13.8,7.5,3.5,13.2
3,1,0,712,175000,2016-08-01,6.9,2.5,12.3,7.2,3.7,13.3,7.7,4.9,13.4
2,1,1,62,176000,2011-08-15,10.1,3.6,14.0,8.0,5.8,13.0,7.8,4.1,13.3
2,1,1,77,176000,2012-05-30,7.4,0.6,16.9,8.4,5.9,15.5,9.2,5.0,15.8
1,1,0,694,177000,2011-04-20,9.6,12.0,17.1,11.7,8.3,17.8,12.9,9.3,19.4
1,1,1,18,180000,2011-06-27,6.2,3.6,15.9,8.6,5.2,13.6,6.7,2.7,13.1
1,1,1,63,180000,2014-04-14,12.9,5.4,22.3,13.6,10.4,19.5,14.3,10.8,21.7
3,1,1,267,180000,2014-10-03,10.1,2.4,19.1,11.2,7.6,18.5,9.9,5.3,17.6
3,1,1,241,192000,2009-07-10,8.1,-0.4,12.1,5.5,-0.2,13.1,7.0,3.1,12.9
2,1,0,321,200000,2006-05-29,4.8,1.2,12.5,7.0,1.0,14.0,8.3,3.3,14.9
3,1,2,330,200000,2010-04-06,15.2,9.2,20.7,13.3,9.5,20.8,15.5,11.8,23.2
3,1,2,307,200000,2010-04-07,15.9,14.3,21.1,13.4,9.7,20.5,15.3,11.6,23.0
2,1,0,585,202500,2008-11-19,16.6,10.7,24.6,13.5,8.3,22.3,12.5,7.9,20.5
2,1,2,331,205000,2011-11-04,14.1,5.2,22.1,11.8,9.0,19.0,11.2,7.0,18.5
2,1,1,60,205000,2018-05-01,11.2,2.8,19.9,10.8,6.4,19.0,11.7,7.9,19.5
2,1,0,200,206000,2012-01-09,14.4,14.6,21.8,17.6,13.8,25.1,17.0,13.0,24.6
2,2,1,274,209000,2013-12-13,12.5,11.6,22.2,12.9,9.5,19.4,13.2,10.0,20.4
3,1,0,233,210000,2011-10-27,13.6,5.1,19.1,11.8,7.8,19.1,10.6,6.2,18.2
3,1,0,443,210000,2012-09-07,6.5,7.2,13.0,8.7,3.3,15.5,7.9,3.9,14.4
3,1,2,352,210000,2013-05-16,8.3,9.5,15.7,11.6,7.9,17.6,10.0,5.3,17.2
2,1,1,60,210000,2019-05-21,13.3,7.7,16.9,9.9,4.3,16.1,11.4,6.5,17.2
2,1,0,96,211500,2009-10-16,10.4,5.5,18.4,9.2,5.6,16.4,9.2,6.1,16.1
2,1,1,296,212500,2012-01-13,15.0,9.4,24.8,14.6,10.7,22.1,16.8,12.5,24.4
2,1,1,188,217500,2013-03-05,19.9,10.5,30.4,16.0,12.5,24.3,17.9,13.5,26.3
1,1,0,60,220000,2023-10-23,14.6,9.4,23.6,13.6,6.5,20.5,12.2,6.6,18.8
2,1,2,740,221000,2012-03-17,14.1,6.3,22.6,16.5,11.9,24.1,16.7,12.8,24.1
2,1,0,379,225000,2011-06-06,5.7,0.0,11.0,7.7,3.2,14.8,7.5,3.1,14.9
2,1,0,107,225000,2012-05-16,8.9,2.4,16.9,8.7,4.9,15.8,10.8,6.8,17.6
3,1,0,515,225000,2014-07-06,7.9,1.7,11.7,6.9,2.4,13.0,7.7,2.8,13.5
2,1,0,92,225000,2015-06-19,1.9,-1.9,10.7,5.9,2.7,11.6,6.3,2.5,12.9
2,1,1,308,225000,2018-01-09,15.1,10.3,20.9,17.6,12.0,25.6,17.3,12.7,24.6
1,1,1,465,227500,2007-12-14,17.6,9.8,23.8,13.8,10.0,21.7,16.1,11.7,23.4
3,2,1,324,230000,2009-10-23,12.6,6.6,22.0,11.5,6.2,18.7,9.7,5.9,16.9
1,1,1,101,230000,2011-12-21,14.9,12.7,24.9,16.1,12.4,23.5,14.6,10.9,22.2
3,2,1,253,230000,2015-05-31,3.9,9.5,13.2,8.5,3.3,14.1,8.8,4.8,15.4
4,2,2,450,230000,2016-12-07,13.4,10.0,19.3,15.0,10.8,22.4,13.6,10.2,20.9
