bedrooms,bathrooms,car spaces,land size,price,date of sale
2,1,2,401,283000,2006-05-02
4,2,2,587,325000,2006-05-03
4,2,3,4047,282500,2006-05-12
2,1,0,321,200000,2006-05-29
2,1,0,127,120000,2006-06-08
3,1,3,485,269000,2006-08-31
3,1,0,290,259000,2006-09-28
2,1,0,440,251000,2006-10-11
3,1,0,387,259000,2007-01-10
4,2,3,639,500000,2007-01-25
2,1,1,75,235000,2007-02-01
3,1,0,263,260000,2007-03-10
3,1,1,368,284000,2007-03-31
4,2,1,447,590000,2007-06-02
3,1,0,500,560000,2007-06-12
2,1,1,192,440000,2007-06-20
3,2,2,363,459000,2007-07-13
5,2,2,1056,655000,2007-07-23
3,2,0,389,412000,2007-08-15
3,2,1,524,390000,2007-09-23
5,4,0,541,455100,2007-09-24
4,2,2,596,625000,2007-09-25
2,1,0,588,308000,2007-10-26
3,1,1,371,292000,2007-12-13
1,1,1,465,227500,2007-12-14
2,1,0,165,308000,2008-02-24
3,1,2,404,450750,2008-02-28
3,1,1,188,320000,2008-04-22
2,2,0,196,275000,2008-05-02
4,1,2,236,335000,2008-06-11
4,3,0,628,570000,2008-07-10
4,3,2,1761,540000,2008-07-11
6,1,1,350,635000,2008-07-26
2,1,0,585,202500,2008-11-19
2,1,1,527,250000,2008-12-01
2,1,0,131,245000,2008-12-08
4,2,1,327,495000,2008-12-15
2,1,0,138,245000,2008-12-16
3,1,1,276,246000,2009-02-04
3,1,2,500,332000,2009-02-06
3,2,0,325,246500,2009-03-17
2,1,0,139,337500,2009-04-06
1,1,1,1107,840000,2009-04-17
3,1,1,429,325000,2009-06-02
7,2,7,285,575000,2009-06-12
3,1,1,241,192000,2009-07-10
3,2,2,604,590000,2009-07-17
2,1,0,219,260000,2009-07-18
4,1,0,551,600000,2009-07-20
2,1,1,118,300000,2009-07-28
2,1,1,179,335000,2009-09-25
3,1,1,652,425000,2009-10-05
2,1,0,96,211500,2009-10-16
5,3,2,1374,980000,2009-10-22
3,2,1,324,230000,2009-10-23
3,1,0,166,290000,2009-11-30
3,1,0,490,325000,2010-01-28
3,3,1,494,695000,2010-02-02
3,1,2,447,275000,2010-03-11
2,2,2,148,377700,2010-03-23
3,1,2,330,200000,2010-04-06
3,1,2,307,200000,2010-04-07
3,2,2,306,659000,2010-04-30
3,2,1,650,570000,2010-06-02
3,1,2,350,390000,2010-06-10
3,2,3,403,925000,2010-07-07
3,1,0,356,280000,2010-07-20
3,1,1,558,465000,2010-07-26
3,1,0,542,267500,2010-08-03
3,2,0,881,840000,2010-08-06
3,2,1,971,295000,2010-08-25
2,1,1,2961,365000,2010-09-16
3,2,1,170,350000,2010-09-27
3,1,1,350,291000,2010-10-05
4,2,2,597,555000,2010-11-12
3,2,0,333,480000,2010-11-17
3,1,1,441,340000,2010-12-10
3,1,1,361,430000,2010-12-22
4,2,3,866,365000,2011-01-13
3,1,1,639,340000,2011-01-19
4,3,2,569,490000,2011-02-01
3,1,1,484,350000,2011-02-17
3,1,1,350,322000,2011-02-23
3,2,0,419,473600,2011-02-28
2,1,1,253,300000,2011-03-17
3,1,1,679,350000,2011-03-26
4,3,3,930,700000,2011-04-01
4,3,2,407,860000,2011-04-04
2,1,2,323,235000,2011-04-11
4,2,2,287,650000,2011-04-14
1,1,0,694,177000,2011-04-20
4,3,2,266,318800,2011-05-05
4,3,0,666,1200000,2011-05-18
3,1,1,343,255000,2011-05-19
3,1,0,317,275000,2011-05-24
2,1,0,263,310000,2011-06-03
2,1,0,379,225000,2011-06-06
2,2,4,576,290000,2011-06-15
3,2,1,243,500000,2011-06-22
1,1,1,18,180000,2011-06-27
3,1,1,655,285000,2011-07-01
2,1,0,644,307000,2011-08-04
